function_id,raw_name,canonical_name,address,category,status,batch,target_address,target_slot,collapsed_raw_target,source_line_start,source_line_end,source_byte_start,source_byte_end,payload_byte_start,payload_byte_end,output_file,output_payload_offset,raw_signature
function_00023,FUN_710000b8b8,unidentified_function_710000b8b8,710000b8b8,internal,recovered_body,0,,,,4790648,4790735,161493132,161499793,161493126,161499793,src/functions/internal/batch_00/7100000000/1981_functions.inc,119981,"void FUN_710000b8b8(auto_FUN_710000b8b8_param_1 *param_1,undefined8 param_2, auto_FUN_710000b8b8_param_3 *param_3)"
function_00024,FUN_710000bb48,unidentified_function_710000bb48,710000bb48,internal,recovered_body,0,,,,4790739,4790762,161499799,161500642,161499793,161500642,src/functions/internal/batch_00/7100000000/1981_functions.inc,126648,"void FUN_710000bb48(auto_FUN_710000bb48_param_1 *param_1,undefined8 param_2,int param_3, undefined8 param_4)"
function_00025,FUN_710000bc38,unidentified_function_710000bc38,710000bc38,internal,recovered_body,0,,,,4790766,4790771,161500648,161500767,161500642,161500767,src/functions/internal/batch_00/7100000000/1981_functions.inc,127497,"void FUN_710000bc38(long param_1,undefined8 param_2)"
function_00026,FUN_710000bc40,unidentified_function_710000bc40,710000bc40,internal,recovered_body,0,,,,4790775,4790788,161500773,161501307,161500767,161501307,src/functions/internal/batch_00/7100000000/1981_functions.inc,127622,"void FUN_710000bc40(auto_FUN_710000bc40_param_1 *param_1,undefined8 param_2)"
function_00027,FUN_710000bcdc,unidentified_function_710000bcdc,710000bcdc,internal,recovered_body,0,,,,4790792,4790808,161501313,161501978,161501307,161501978,src/functions/internal/batch_00/7100000000/1981_functions.inc,128162,"void FUN_710000bcdc(auto_FUN_710000bcdc_param_1 *param_1,undefined8 param_2,int param_3)"
function_00028,FUN_710000bdc0,unidentified_function_710000bdc0,710000bdc0,internal,recovered_body,0,,,,4790812,4790825,161501984,161502220,161501978,161502220,src/functions/internal/batch_00/7100000000/1981_functions.inc,128833,undefined8 FUN_710000bdc0(void)
function_00029,FUN_710000be10,unidentified_function_710000be10,710000be10,internal,recovered_body,0,,,,4790829,4790846,161502226,161502677,161502220,161502677,src/functions/internal/batch_00/7100000000/1981_functions.inc,129075,"uint FUN_710000be10(uint param_1,uint param_2)"
function_00030,FUN_710000be60,unidentified_function_710000be60,710000be60,internal,recovered_body,0,,,,4790850,4790975,161502683,161505790,161502677,161505790,src/functions/internal/batch_00/7100000000/1981_functions.inc,129532,"undefined8 FUN_710000be60(long *param_1,ulong *param_2,uint param_3,uint param_4,uint param_5,int param_6, uint param_7)"
function_00031,FUN_710000c0f0,compress_rgba8_surface_and_copy_to_block_linear,710000c0f0,internal,recovered_body,0,,,,4790979,4791190,161505796,161511648,161505790,161511648,src/functions/internal/batch_00/7100000000/1981_functions.inc,132645,"undefined8 FUN_710000c0f0(undefined8 *param_1,undefined8 *param_2,ulong param_3,ulong param_4,ulong param_5, uint param_6,uint param_7,uint param_8,byte param_9,int param_10,int param_11, uint param_12)"
function_00032,FUN_710000ca60,unidentified_function_710000ca60,710000ca60,internal,recovered_body,0,,,,4791194,4791413,161511654,161517845,161511648,161517845,src/functions/internal/batch_00/7100000000/1981_functions.inc,138503,"void FUN_710000ca60(long param_1,long param_2,long param_3,undefined *param_4,uint param_5)"
function_00033,FUN_710000d150,unidentified_function_710000d150,710000d150,internal,recovered_body,0,,,,4791417,4791666,161517851,161525052,161517845,161525052,src/functions/internal/batch_00/7100000000/1981_functions.inc,144700,"void FUN_710000d150(long param_1,auto_FUN_710000d150_param_2 *param_2,long param_3, undefined *param_4,uint param_5)"
function_00034,FUN_710000da30,unidentified_function_710000da30,710000da30,internal,recovered_body,0,,,,4791672,4792890,161525143,161577963,161525052,161577963,src/functions/internal/batch_00/7100000000/1981_functions.inc,151907,"ulong FUN_710000da30(uint *param_1,long param_2,ulong param_3,uint param_4)"
function_00035,FUN_710000e070,unidentified_function_710000e070,710000e070,internal,recovered_body,0,,,,4792894,4792907,161577969,161578271,161577963,161578271,src/functions/internal/batch_00/7100000000/1981_functions.inc,204818,void FUN_710000e070(void)
function_00036,FUN_710000e0f0,unidentified_function_710000e0f0,710000e0f0,internal,recovered_body,0,,,,4792911,4792938,161578277,161579097,161578271,161579097,src/functions/internal/batch_00/7100000000/1981_functions.inc,205126,"void FUN_710000e0f0(uint *param_1,uint param_2,undefined *param_3,undefined *param_4)"
function_00037,FUN_710000e2f0,unidentified_function_710000e2f0,710000e2f0,internal,recovered_body,0,,,,4792942,4793100,161579103,161583825,161579097,161583825,src/functions/internal/batch_00/7100000000/1981_functions.inc,205952,"void FUN_710000e2f0(long param_1,int param_2,uint param_3,undefined *param_4)"
function_00038,FUN_7100010524,initialize_nvn_block_linear_surface_layout,7100010524,internal,recovered_body,0,,,,4793104,4793524,161583831,161594927,161583825,161594927,src/functions/internal/batch_00/7100000000/1981_functions.inc,210680,"void FUN_7100010524(auto_FUN_7100010524_param_1 *param_1,undefined4 param_2,undefined4 param_3, dword param_4,undefined4 param_5,undefined4 param_6)"
function_00039,FUN_7100010bb0,unidentified_function_7100010bb0,7100010bb0,internal,recovered_body,0,,,,4793528,4793546,161594933,161595356,161594927,161595356,src/functions/internal/batch_00/7100000000/1981_functions.inc,221782,"uint FUN_7100010bb0(long param_1,int param_2,ulong param_3,long param_4)"
function_00040,FUN_7100010c00,unidentified_function_7100010c00,7100010c00,internal,recovered_body,0,,,,4793550,4793638,161595362,161597796,161595356,161597796,src/functions/internal/batch_00/7100000000/1981_functions.inc,222211,"int FUN_7100010c00(long param_1,uint param_2,long param_3)"
function_00041,FUN_7100010d8c,copy_linear_rows_to_nvn_block_linear_surface,7100010d8c,internal,recovered_body,0,,,,4793642,4793783,161597802,161601970,161597796,161601970,src/functions/internal/batch_00/7100000000/1981_functions.inc,224651,"undefined8 FUN_7100010d8c(long param_1,uint param_2,undefined8 *param_3,undefined8 param_4,long param_5)"
function_00042,FUN_71000110b0,unidentified_function_71000110b0,71000110b0,internal,recovered_body,0,,,,4793787,4793808,161601976,161602416,161601970,161602416,src/functions/internal/batch_00/7100000000/1981_functions.inc,228825,"undefined8 FUN_71000110b0(undefined8 *param_1,int param_2)"
function_00043,FUN_7100011124,unidentified_function_7100011124,7100011124,internal,recovered_body,0,,,,4793812,4793817,161602422,161602508,161602416,161602508,src/functions/internal/batch_00/7100000000/1981_functions.inc,229271,void FUN_7100011124(byte *param_1)
function_00044,FUN_7100011140,unidentified_function_7100011140,7100011140,internal,recovered_body,0,,,,4793821,4793841,161602514,161602946,161602508,161602946,src/functions/internal/batch_00/7100000000/1981_functions.inc,229363,"ushort FUN_7100011140(uint param_1,long param_2,int param_3)"
