type_id,record_id,raw_name,canonical_name,symbol_kind,record_kind,category,owner_function,address,source_line_start,source_line_end,source_byte_start,source_byte_end,output_file,output_payload_offset,raw_typedef
type_00025,type_record_0021,Pauto_FUN_7100272ba0_DAT_7103a6be58,pointer_to_inferred_function_type_7100272ba0_dat_7103a6be58,pointer_typedef,struct,generated_functions,FUN_7100272ba0,7100272ba0,28,38,868,1230,src/types/generated/functions/7100200000/0002_types.inc,0,"typedef struct auto_FUN_7100272ba0_DAT_7103a6be58 auto_FUN_7100272ba0_DAT_7103a6be58, *Pauto_FUN_7100272ba0_DAT_7103a6be58;"
type_00026,type_record_0022,auto_FUN_7100272ba0_puVar1,inferred_function_type_7100272ba0_puvar1,struct_tag,struct,generated_functions,FUN_7100272ba0,7100272ba0,40,51,1232,1589,src/types/generated/functions/7100200000/0002_types.inc,364,"typedef struct auto_FUN_7100272ba0_puVar1 auto_FUN_7100272ba0_puVar1, *Pauto_FUN_7100272ba0_puVar1;"
type_00027,type_record_0022,auto_FUN_7100272ba0_puVar1,inferred_function_type_7100272ba0_puvar1,typedef_alias,struct,generated_functions,FUN_7100272ba0,7100272ba0,40,51,1232,1589,src/types/generated/functions/7100200000/0002_types.inc,364,"typedef struct auto_FUN_7100272ba0_puVar1 auto_FUN_7100272ba0_puVar1, *Pauto_FUN_7100272ba0_puVar1;"
type_00028,type_record_0022,Pauto_FUN_7100272ba0_puVar1,pointer_to_inferred_function_type_7100272ba0_puvar1,pointer_typedef,struct,generated_functions,FUN_7100272ba0,7100272ba0,40,51,1232,1589,src/types/generated/functions/7100200000/0002_types.inc,364,"typedef struct auto_FUN_7100272ba0_puVar1 auto_FUN_7100272ba0_puVar1, *Pauto_FUN_7100272ba0_puVar1;"
type_00029,type_record_0023,auto_FUN_71001fc150_param_1,inferred_function_type_71001fc150_param_1,struct_tag,struct,generated_functions,FUN_71001fc150,71001fc150,53,103239,1591,3535306,src/types/generated/functions/7100100000/0003_types.inc,0,"typedef struct auto_FUN_71001fc150_param_1 auto_FUN_71001fc150_param_1, *Pauto_FUN_71001fc150_param_1;"
type_00030,type_record_0023,auto_FUN_71001fc150_param_1,inferred_function_type_71001fc150_param_1,typedef_alias,struct,generated_functions,FUN_71001fc150,71001fc150,53,103239,1591,3535306,src/types/generated/functions/7100100000/0003_types.inc,0,"typedef struct auto_FUN_71001fc150_param_1 auto_FUN_71001fc150_param_1, *Pauto_FUN_71001fc150_param_1;"
type_00031,type_record_0023,Pauto_FUN_71001fc150_param_1,pointer_to_inferred_function_type_71001fc150_param_1,pointer_typedef,struct,generated_functions,FUN_71001fc150,71001fc150,53,103239,1591,3535306,src/types/generated/functions/7100100000/0003_types.inc,0,"typedef struct auto_FUN_71001fc150_param_1 auto_FUN_71001fc150_param_1, *Pauto_FUN_71001fc150_param_1;"
type_00032,type_record_0024,auto_FUN_7100495e70_UNNAMED,inferred_function_type_7100495e70_unnamed,struct_tag,struct,generated_functions,FUN_7100495e70,7100495e70,103241,103246,3535308,3535506,src/types/generated/functions/7100400000/0004_types.inc,0,"typedef struct auto_FUN_7100495e70_UNNAMED auto_FUN_7100495e70_UNNAMED, *Pauto_FUN_7100495e70_UNNAMED;"
type_00033,type_record_0024,auto_FUN_7100495e70_UNNAMED,inferred_function_type_7100495e70_unnamed,typedef_alias,struct,generated_functions,FUN_7100495e70,7100495e70,103241,103246,3535308,3535506,src/types/generated/functions/7100400000/0004_types.inc,0,"typedef struct auto_FUN_7100495e70_UNNAMED auto_FUN_7100495e70_UNNAMED, *Pauto_FUN_7100495e70_UNNAMED;"
type_00034,type_record_0024,Pauto_FUN_7100495e70_UNNAMED,pointer_to_inferred_function_type_7100495e70_unnamed,pointer_typedef,struct,generated_functions,FUN_7100495e70,7100495e70,103241,103246,3535308,3535506,src/types/generated/functions/7100400000/0004_types.inc,0,"typedef struct auto_FUN_7100495e70_UNNAMED auto_FUN_7100495e70_UNNAMED, *Pauto_FUN_7100495e70_UNNAMED;"
