entity_kind,entity_id,address,raw_symbol,existing_canonical_name,proposed_name,category,confidence,evidence_kind,evidence_address,evidence_function_address,evidence,inference_scope
elf_string,elf_string_209412,710313ad38,string_at_710313ad38,,mii_face_rendering_string_enable_depth_silhouette_mii,mii_face_rendering,0.96,elf_printable_string,710313ad38,,EnableDepthSilhouetteMii,exact_elf_string_address
elf_string,elf_string_209434,710313af44,string_at_710313af44,,mii_face_rendering_string_t_title_mii_editor_family_blood_relation_00,mii_face_rendering,0.96,elf_printable_string,710313af44,,T_Title_MiiEditor_FamilyBloodRelation_00,exact_elf_string_address
elf_string,elf_string_209435,710313af6d,string_at_710313af6d,,mii_face_rendering_string_t_title_mii_editor_gender_00,mii_face_rendering,0.96,elf_printable_string,710313af6d,,T_Title_MiiEditor_Gender_00,exact_elf_string_address
elf_string,elf_string_209438,710313af98,string_at_710313af98,,mii_face_rendering_string_mii_editor_easy_compare_reset_ok,mii_face_rendering,0.96,elf_printable_string,710313af98,,MiiEditor_EasyCompareReset_OK,exact_elf_string_address
elf_string,elf_string_209439,710313afb6,string_at_710313afb6,,mii_face_rendering_string_mii_editor_change_normal_editor_cancel,mii_face_rendering,0.96,elf_printable_string,710313afb6,,MiiEditor_ChangeNormalEditor_Cancel,exact_elf_string_address
elf_string,elf_string_209441,710313afe5,string_at_710313afe5,,mii_face_rendering_string_mii_editor_change_cancel_bolld_relation_ok,mii_face_rendering,0.96,elf_printable_string,710313afe5,,MiiEditor_ChangeCancel_BolldRelation_OK,exact_elf_string_address
elf_string,elf_string_209442,710313b00d,string_at_710313b00d,,mii_face_rendering_string_mii_editor_blood_relation_exit_confirm_cancel,mii_face_rendering,0.96,elf_printable_string,710313b00d,,MiiEditor_BloodRelation_ExitConfirm_Cancel,exact_elf_string_address
elf_string,elf_string_209443,710313b038,string_at_710313b038,,mii_face_rendering_string_title_mii_editor_grand_parent_female,mii_face_rendering,0.96,elf_printable_string,710313b038,,Title_MiiEditor_GrandParent_Female,exact_elf_string_address
elf_string,elf_string_209444,710313b05b,string_at_710313b05b,,mii_face_rendering_string_p_mii_body_type,mii_face_rendering,0.96,elf_printable_string,710313b05b,,P_Mii_BodyType,exact_elf_string_address
elf_string,elf_string_209447,710313b081,string_at_710313b081,,mii_face_rendering_string_t_mii_profile_family_00,mii_face_rendering,0.96,elf_printable_string,710313b081,,T_MiiProfile_Family_00,exact_elf_string_address
